game_id,season,week,home_team,away_team,is_mw_game,model_spread_home,market_spread_home,edge,lean,is_bet,bet_result,clv,home_win_prob,actual_home_win,actual_margin,model_total,market_total,total_edge,total_lean,is_total_bet,total_bet_result,total_clv,actual_total,market_home_ml,market_away_ml,ml_edge,ml_lean,is_ml_bet,ml_bet_result,ml_profit
400869444,2016,3,UConn,Virginia,False,-12.89960827250227,-4.666666666666667,8.232941605835602,Home,True,Loss,,0.7374519609970446,1.0,3,49.86634923488164,48.25,1.616349234881639,Over,False,,,23,,,,,,,
400869523,2016,3,Tulsa,North Carolina A&T,False,-16.89210370733981,-25.0,-8.10789629266019,Away,True,Loss,,0.7973528612699556,1.0,37,54.24539337102897,,,,,,,79,,,,,,,
400869116,2016,3,Washington State,Idaho,False,-25.484460418714985,-27.333333333333332,-1.8488729146183474,Away,False,,,0.8953536270524078,1.0,50,49.08143546508375,68.75,-19.66856453491625,Under,True,Win,,62,,,,,,,
400869358,2016,3,Kansas State,Florida Atlantic,False,-16.09615349895544,-22.666666666666668,-6.570513167711226,Away,True,Loss,,0.7861081853872247,1.0,56,66.26830203306338,49.5,16.768302033063378,Over,True,Win,,70,,,,,,,
400869195,2016,3,Toledo,Fresno State,False,-18.524786610623284,-20.666666666666668,-2.1418800560433837,Away,True,Loss,,0.8192836796934863,1.0,35,56.164531953439194,57.5,-1.3354680465608055,Under,False,,,69,,,,,,,
400869198,2016,3,Central Michigan,UNLV,True,-12.899142385685478,-12.333333333333334,0.5658090523521437,Home,False,,,0.7374444786219156,1.0,23,65.40706349911842,55.0,10.407063499118422,Over,True,Win,,65,,,,,,,
400869279,2016,3,Ball State,Eastern Kentucky,False,-24.185669981944795,-13.0,11.185669981944795,Home,True,Win,,0.8832765422650033,1.0,27,66.58529094265998,,,,,,,55,,,,,,,
400869282,2016,3,Kent State,Monmouth,False,-14.315986846223822,-13.0,1.3159868462238222,Home,False,,,0.7596846989769657,1.0,20,55.787880567482844,,,,,,,34,,,,,,,
400869111,2016,3,Michigan,Colorado,False,-26.72261992877637,-18.333333333333332,8.38928659544304,Home,True,Loss,,0.9059987904561098,1.0,17,61.059223770686906,55.5,5.559223770686906,Over,True,Win,,73,,,,,,,
400869441,2016,3,North Carolina,James Madison,False,-19.91262848813933,-24.5,-4.58737151186067,Away,True,Loss,,0.8367065298907652,1.0,28,55.65083180865288,,,,,,,84,,,,,,,
400869437,2016,3,Virginia Tech,Boston College,False,-10.289988803767613,-6.666666666666667,3.6233221371009465,Home,True,Win,,0.6939031649806667,1.0,49,46.72425356468535,39.25,7.474253564685348,Over,True,Win,,49,,,,,,,
